0.0	0.06	60
0.08	0.14	60
0.16	0.22	60
0.24	0.3	60
0.32	0.38	60
0.4	0.46	60
0.48	0.54	60
0.56	0.62	60
0.64	0.7	60
0.72	0.76	40
0.78	0.82	40
0.84	0.88	40
0.9	0.94	40
0.96	0.98	20
1.0	1.1	100
1.12	1.2	80
1.22	1.28	60
1.3	1.36	60
1.38	1.44	60
1.46	1.52	60
1.54	1.6	60
1.62	1.68	60
1.7	1.78	80
1.8	1.86	60
1.88	1.96	80
1.98	2.04	60
2.06	2.12	60
2.14	2.2	60
2.22	2.3	80
2.32	2.42	100
2.44	2.48	40
2.5	2.56	60
2.58	2.64	60
2.66	2.7	40
2.72	2.82	100
2.84	2.96	120
2.98	3.04	60
3.06	3.14	80
3.16	3.26	100
3.28	3.34	60
3.36	3.46	100
3.48	3.58	100
3.6	3.66	60
3.68	3.74	60
3.76	3.86	100
3.88	3.92	40
3.94	4.06	120
4.08	4.16	80
4.18	4.24	60
4.26	4.4	140
4.42	4.5	80
4.52	4.66	140
4.68	4.78	100
4.8	4.88	80
4.9	4.96	60
4.98	5.04	60
5.06	5.18	120
5.2	5.28	80
5.3	5.36	60
5.38	5.44	60
5.46	5.54	80
5.56	5.68	120
5.7	5.84	140
5.86	5.94	80
5.96	6.0	40
6.02	6.08	60
6.1	6.16	60
6.18	6.24	60
6.26	6.3	40
6.32	6.4	80
6.42	6.48	60
6.5	6.54	40
6.56	6.62	60
6.64	6.74	100
6.76	6.82	60
6.84	6.88	40
6.9	6.98	80
7.0	7.06	60
7.08	7.12	40
7.14	7.2	60
7.22	7.26	40
7.28	7.34	60
7.36	7.42	60
7.44	7.54	100
7.56	7.62	60
7.64	7.74	100
7.76	7.82	60
7.84	7.94	100
7.96	8.02	60
8.04	8.1	60
8.12	8.18	60
8.2	8.28	80
8.3	8.36	60
8.38	8.46	80
8.48	8.6	120
8.62	8.66	40
8.68	8.76	80
8.78	8.84	60
8.86	8.94	80
8.96	9.06	100
9.08	9.14	60
9.16	9.22	60
9.24	9.28	40
9.3	9.36	60
9.38	9.44	60
9.46	9.52	60
9.54	9.6	60
9.62	9.68	60
